cnuvcaelWvEnWrufiSwh	.ctogctWm eguhwbim "cnulWvEn WrufiSwh "	m	
cnuliawLofiSwh	.cnutwgevctwmWlws  cnukwkwtitwd Wviawfevitwmiruk :uzWjwm  (3) .cnurukctWkwrwH cSwmuliawTcawn caemudcaeb  ctoa iawfiawdcawb caeCcaeaErid wtwvun ukwhIm  iawgiawg egWmit (2) .cnuawnegctWkwrwh cSwDnwgiSwh  egcnemurosea cSwmuliawLof csufwrih wtwvun  cnefwncnuh iawgiawg egIfUsWfUsinUd (1)	m	
cnuvcaeliawLofiSwh	.ctogctWm eguhwbim "cnuliawLofiSwh "	m	
iauliSwh	.cten cnwkilehwrub	an	
cnwkiauliSwh	.cnwkcten caemwkilehwrub	nan	
cnuviauliSwh	.cnuten caemwkilehwrub	m	
uDnwgiSwh	.WnWviawH iLum wtwvun  WnWscniaiLum (2) .cnwtiawhcnUn iawfcserwtwh  iaWlob egcnunWviAwH iaWncnunWscnia (1)	n	
cnefISwh	.wDwf (2) .inwm (1)	n	
wDnwguSwh	.uDnwgiSwh (.l)	n	
nWknwh	.ugcnws  (2) .iSot egItekwtwdwfWLog ,ilwvwrwb (1)	n	
ilobiknwh	.caeycaob egutWzilob oyekcaws (.g)	n	
wdnwh	.udnwh (.s.l)	n	
ilobwrwdnwh	.ilobwrwdnws (.N)	n	
Wkokwrwvwdnwh	.urwvudnwhWkok (.s)	n	
wgwmwdnwh	.iDnwdcsua Wgnihudnwh (.s)	n	
wLwfwdnwh	.udnwhiveLuh (2) .iLwfudnwh (1) (.l)	n	
iLwfwdnwh	.iLwfudnwh (.s)	n	
wlwdnwh	.cswmidnwh egudemed Wjcnwh  iaWycawkwrok (2) .ilwkwrokuDob (1) (.h)	n	
egWlwdnwh	.egudnwh (.s)	n	
WyidwhInWdnwh	.caeCcaeaEd  cnutog egumuTcaehemed cnWdnwh egcaemwk	n	
cnuyilInWdnwh	.cnuyil wdwf cTekifuTes  wtwvun udwnws Ed cnutog egcaenWdnwh egcaemwk	n	
cnWdnwh	.urWb egumuawnegcSwtih caeCcaea  wtwvun caemwk (2) .urWb egumuruh Wlurwh iawgutih  caeCcaea irukcswd wtwvun caemwkwyidev (1)	n	
cnuTcaeheb cnWdnwh	.cnunidunwyid iawlifcnutih caeCcaea	m	
cnutencnWdnwh	.cnuaidiawlif cnutih (2) .cnuawn cSwtih (1)	m	
cnurukcnWdnwh	.cnuTcaeheb iawgutih (4)  .cnuawneg cSwmuncsiv (3) .cnuawneg cSwCcawmctih  cnulwa (2) .cnuawneg cSwrukif iawncsiv (1)	m	
cnuvcnWdnwh	.cnuawa cSwmuncsiv (3) .cnuawa cSwCcawmctih  cnulwa (2) .cnuawa cSwrukif iawncsiv (1)	m	
idnwh	. caetwlWa  ELugcneg cnwhwjwvua WnWr (2) .idnwhwDum (S)  .idnwhinwf (h) :ulWsim .eveaeruh caerwtcawv  emcnwtik egIm .caetwvWb eguhwmurwf (1)	n	
cnuLeaidnwh	.cnuruk cnWmoa cnidnwh  iawgumuLeacnuLwt iaWycawgumuhej wvua uDubctwa	m	
uLwvidnwh	urwswa egIdnwh wncnuhWlifun  uhwfcSwmuruk cnWmoa cnidnwh iawgumuhejwvua	n	
ilWvidnwh	.eveaenWvugid ctwfUgwnegIm .caetwvWb egIlWv	n	
udnwh	.caeairwt  Ediawvunofilwa cSwkwairwt WvWbwtea cnegibil  cnwkilwa cnukwairwt Whwjwyif Wrukuruawd cnegiawSwv  egcaeairwt (2) .evekeairwt Wrukilwa cSwmib  uDnwgEr cnegibil cnwkilwa cSwaea cnuria Iaim  .caeairwt Wrukuruawd cnegiawSwv egumib (1)	n	
ErWlwbudnwh	.ErElivcsIrit eguhwmudnwh	n	
cswmWlwbudnwh	.cswmudnwh wncnoa cSwyiruk eguhwmWgnih	n	
iDwbudnwh	.iDwbItwmurwh egurwvudem (3)  .iDwbImcswr unuLua iawhwj Erwmwtwruf eguhwmcnitim  ,ulWvcawx ,cnWFwmwr , ubwjwr iawguhia (2)  .iDwb Whwj WmInunef udnwh cSwawdOrudIa (1)	n	
cnulebudnwh	.cnuSef cSwhwmudnwh (2) .cnuleb  OtEnef udnwh iveLuh ErElivcsIrit eguhwm (1)	m	
ilobudnwh	.ilobwrwdnws (.m)	n	
ilobWlwkudnwh	.ilob wrwdnws (.f)	n	
wtEkudnwh	.inwyih egumib ELeacSwdnwh udnih WvWmid  cSwkwaiDnwdcaea csog cnumwruk urutwd iawgugwm  Wrukurutwd egIheCcaeaea cnib iaWdnwh iaWria	n	
enwaudnwh	.egudnwh (.g)	n	
whcnwvudnwh	.eveawyik csevcnehim uLokirwd  "iaelwm" idwa "uLokirwd EgumIt" cSwLokirwdim  cnIhevid .evekeLufEb eguLokirwdim Ivencnia  iawgutuKwt egEjcaWr uria IvcnWlcsiaejcaWr .cnwn  egcaeaWliaWA irukcnwkcswr iawgWyiDcnia urutua	n	
Wruswrwvudnwh	.cnwkirevcswm WrukcSwmunEb ilen  cnwkiteDob iawgumusUm urwvudnwh (.s)	n	
Irwvudnwh	.caehwg WLwa caekwtWm idukiduk cSwNcnOkinOk .n  (3) .egurwvudnwh (2) .Edurwvudnwh (1)	an	
WmIrwvudnwh	.eveawluk UdnIr Ikwawluk egIm csevwmwn .eveaWSoa  eguhwgwsUmcnod ,InWvurwtcawv cSoawncnukun  iawguhwgim .eveaWtwfWnIh iduk InWvurwtcawvctwf  .eveaeruhwlukuduh Wywluk cTeliawv iawgulwmim  .caekwtWm idukiduk WLwa iawgcaehwgwnigiSwk	n	
cswgIrwvudnwh	.cswgWLwa WmIrwvudnwh (2) .eveSwtogEdeh  cswgWnIh Inedeh cswgim .caehwgwncnuh ctwf  cSwtogwncnuhctwf eguhwgWlif iDnoginuh (1)	n	
urwvudnwh	.ilwaEbil cnudnwh	n	
inukwk urwvudnwh	.uDnwginukwk ELuaemukun  cSwSoduDnog cSwaerEr itIr urwvudnwh	n	
cnunid urwvudnwh	.cnuLea cSwaeyinud cnwkilwa egudnwh	m	
ifwrukurwvudnwh	.cnunWvuz ELua emukun iawgItwmugwm  cnWhwjwkws ErEr itIr urwvudnwh :uzWjwm	n	
itwmurwvudnwh	eretegurwvudnwh	n	
cnusUmurwvudnwh	.udemed iaWaerElivwrWSwa  cnegiSef cnErwnwvwh eguhwmudnwh (2) urwvcswvud  wncnoa cSokitIr urwvudnwh uLokWria (1)	n	
iaofurwvudnwh	.cnusUm urwvudnwh	n	
WLogurwvudnwh	.eveSwaerEr Edurwvudnwh  IneLua emukunim cniawnig .caetwvWb egWLog	n	
cnwkcnWfinevudnwh	.cnwkilwa egurwvudnwh (.db)	nan	
wmudnwh	!Wlwb " cnWdnwh "	n	
cnutenwmudnwh	.cnutencnWdnwh	m	
cnurukwmudnwh	.cnuruk cnWdnwh	m	
cnuvwmudnwh	.cnuvcnWdnwh	m	
cswmudnwh	.caehwm  emcnok egurwhwa Emin cSwhwmujcawH cnegiSef cnuhwm  cmwrcawHum (2) .cswmegurwDcnwlwk Irujih (1)	n	
iLwfudnwh	.iDug wncnuh iawfiawLwa cnuheruk  egILwfudnwh (2) .WnUmwn egudnwhiveLuh (1)	n	
IbibiLwfudnwh	.eveawgiawlukuLwk Inwncnuh cSoduDub egutwfUgin  eguhwm .eveaeruh caegnorWLuf egiawlukuLwk cSwtogWv  cSwCcawm eguhwm cnutwhwf egILwfudnwhim idwa .eveaeruh  caegnor egiawlukuduh WLufwncnuh cSwrubiLwfudnwh  iawgutwhwf egugnorim .eveaeruh caegnor egiawlukuLwk  wlwf cSwrwv cSwhwruh egulol eguhwmim .caehwm egiawluk  UdnIr ELua iawgurEb egurwfurwf egEjcaWr	n	
cnuLeaiLwfudnwh	.cnuheruk iLwfudnwh iawgIDug	m	
wgnwludnwh	.iLwfudnwh (.s)	n	
cnuLeaegudnwh	.cnudefua urub cnegiawSwv egudnwh	m	
enwaednwh	.egudnwh (.g)	n	
irigEdnwh	.WycailiK WdcaurIzwv (2) .caemwn  egIlokWvcaed cSwkwkea erukcnIrev Wvwbcaitevcsia  cnWvwgcnih ctwluawd iawguhia (1)	n	
WmururubirigEdnwh	.caetwvWb wncnuh  cSokuduhcnwk cniaeret egulWMurWLwa iawgulob	n	
cnwkirigEdnwh	.cawtcnwk WvulWvwH WkwyirigEdnwh  (2) .WfIzwv egumwk irig Ednwh (1)	nan	
odnwh	.udnwh (.N)	n	
Wgnwh	.uDnwgihif WvuLukWLub (.N)  (4) .urwtcawv Wscawjea cnegiawlWLwa WkwhIm WjcaukwL  (3) .cnuLotELot (2) .UgwdnuaWruk (1)	n	
cnurukWgnwh	.cnurukWsWmws  (3) .cnuLot (2) .cnurukUgwdnua (1)	m	
ugnwh	.eveawgEretegurwkcxwl egunWfegcswr  egEjcaWrihevid Inwvwbcait cnulwkEbim .caeawjwrwd  egumwkudemiLoa ivcauLua Wvcaed cnudnwr iawguhia	n	
UDnwhugnwh	.eveaiLWnwrWb ukwyOf Ikwrwvcnim  ,UDnwh Wvcaed cSwawrWsum cSwncnulwkEbugnwh	n	
cnugnwh	.cnulwkEbugnwh  (2) .cnuhIm Wviawfibil cnwkugnwh (1)	n	
Wrwfcnugnwh	.eveawgurwhwa wnwv .h 1351  InuDnekim .evenoged cnukwSwr emcnok iSokuDnwd  Ikwrwvcnim igenim .caeawbigen cSwrWkurws  iawguhia cnutwa cnIrevuDnwd egEjcaWrihevid	n	
wmWrugnwh	.wmWrugnwh Wruk Wmuawq  caenwa umuawqcaea cnegcSokcnunEb cTekor iaWliawsim  (2) .eveSwkwtWlwmwH wdwfim Wgnih udemed Wmuawq  caenwa umuawqcaea InwrukcnunEb cSokumcnWa cswbim  .cnuremiawLwt Wkwywbcaenwa ukwywbcaea cnegcSokcnunEb  urWyitwh wtwvun cnegiawfih urWyitwh (1)	n	
cnibwmWrugnwh	.cnWdiawm  egiawmWrugnwh (2) .cnib Wruk wmWrugnwh (1)	n	
urebwmWrugnwh	.urebunuLua iawhwj WmIvcnwSwf wmWrugnwh	n	
WyirevwmWrugnwh	.WhImWrukwmWrugnwh	n	
cnulwkEbugnwh	.urwkcxwl  egunWfegcswr egEjcaWrihevid iawgunWmwz egIruk	n	
cnwkugnwh	.caemwkudemiLoa (2) .caeawjwrwd Imcswr (1)	n	
whwDnwh	.cswDnwh (.s)	n	
cswDnwh	.uDwgctwd wnWd egInukwk (3) .cnwtWviawfcSokikwv  iawkwTcSwmuaid cSwtijWh iawgIlifig  (2) .caerWyitwh IliSwkiawfed ELugcnegcnWfih  iawgIteCcaea .cnuhImWrukcnwkctwa (1)	n	
irubcswDnwh	.iawbWviawf  cSokikwv iawkwTcSwmuaid cSwtijWh iawgIlifig	n	
cnutcswDnwh	.ctogwncnuhWmIreh cnutItwm  cSwbnutIrit cnehEnEvekun caeCcaea cSwLWk	n	
cnuvcnutcswDnwh	.cnunubun cniawgnwa cnegevulUbwgun  :uzWjwm (2) !Wlwb "cnutcswDnwh" (1)		
uLokegcswDnwh	.irubcswDnwh egurwvuDnwg wrWhwvwa (.db)	n	
wvwlWDnwkuDnwh	.caeawvwl  cniaeret egukwtwvwl WlWbiawvurwa egureb iDnwd	n	
uDnwgiSWnWLofuDnwh	.evekeDnwgiSWnwncnoa iawfiawvurwaufoa  iaWSwmurEb iawhIkcSwgid iSWkiteDob ,Iaim  .uDnwgiSWnWrukcnunEb cSwmuLeaUDnwh cSwyiLopctwb  ,iaWSWgwn UDnwh InWrwacSwyiruk uriaWLofUDnwh	n	
UDnwh	.eveSWkcawkctwb InwrukcnunEb  iawgcaetog umcaWaim ,caetwvWb egumWvog	n	
cnwvWDnwkUDnwh	.iteawncnuh  iawfiawdwh cnIDukwl cnWrukufWsuDnwh	n	
OmWDnwkUDnwh	.eveawfeyilcnideruk cSokwmih  cnwtWfih iawgudem cSokwlwf uLoked Inwncnuhim  .itea ELugcneg cnwLwtUDnwh cnegiawLwa cSwnwv	n	
cnuDnekUDnwh	.cnurukufWs  iawLwtcnulOm cnegiawLwa cSwkwnwvUDnwh	m	
itwdWrugumUDnwh	.caetwlWa wncnuhiawfiawdwh cnukwCcaea  Inwduawm cSwmuruk cnumih itekwtwdwf Udnwh	n	
iLofUDnwh	.iLopctwb (ukilwm)	n	
cnuLofUDnwh	.cnudeh  ctogWvikwv WlUDnwhUm iaWluDnwh irub ,iaWyin  ,iaWaiDnuk eguluDnwh cnegiawLwa cSwkwaiLopctwb	m	
eleDnwh	.UDnwh (.g)	n	
wnwh	.unwh (.s) .n (2) .ikih (1)	an	
cnuliawrubnwa wnwh	.cnuliawvcaud cswvud egcaeCcaea  wtwvun caehIm wtwvun caejcauk cnutwgctwgiawLwt	m	
imwnwh	.itwmiSwk (.db)	n	
cswfwnwh	.cswfikih  Wvuncaemwkctet (2) .uDnwgilevUd (1)	n	
cnibcswfwnwh	.uDnwgcswf  uDwm ctencnwkctet wncnuhun urWb egumudehcswg  (3) .cnibWviawfideh cnuhwfikih Wvuncaemwkctet  (2) .cnibwncnuh cSokUd uDnwgilev (1)	n	
cnwkcswfwnwh	.cnwkEkihcswf itencaemwkctet  (2) .cnwkWvUd uDnwgcswf (1)	nan	
cnuvcswfwnwh	.cnukihcswf  itencaemwkctet (2) .cnuvUd uDnwgcswf (1)	m	
wrwvcsEdwnwh	.WrOfcnwkwdwguLom (.db)	an	
Wnwh	.ctWrWxia Wruk cSwmuawa cSwyiriawk  cnegeruh iawgurud (4) .cnuvWviriawk Wmuvurwm  wtwvun ,urwm Wv cnubwbws egumwk iawhuDnwb  wtwvun cnukwnUh csevemcnok iheCcaea iruhwnWruf  (3) .ctogWdwhcswm cSokikih cnegiawludWvwh (2)  .wnwrum Wruk itekwt cnunUh egunWfilwa (1)	n	
cnudnihWnwh	.cnudEfcSwyiDwa  uLokitea wloa wncnuh iawgEret egcaeCcaeaWyid	m	
cnudcnihWnwh	.cnuTcaeheb cnedcnedEf cSwyiDwa  iawbcnumih wloa wncnuh iawgEret egcaeCcaeaWyid	m	
inuhWnwh	Wviawfevidukiduk evIf (.db)	an	
cnurukinuhWnwh	.cnuliawtcten cSokukWlwh	m	
cnuDnekinuhWnwh	.cnuruk idukiduk iawLwt	m	
cnuvinuhWnwh	.cnuvWyinwa cSwDobWm (2) .cnuvidukiduk (1)	m	
wfwkWnwh	.eveaenWviduk eruvcSwtwf wfwkcSoa csevctwf  eguhwgim .eveaenWvwhEswf cnwvulif iawfevudwm  cSoa eruvcSwywfwkcSoa wfwkim .caetwvWb egiawfwk	n	
udWvwhirukWnwh	.udWvwh iruhiawfcSokWnwh	n	
cswmirukWnwh	.cswm Wkcawk cnegiawludWvwhim iawrugum cnegcSokWnwh  cSwrwv WdnWn ,iLoturUfWk iSotinof ,csurimEswa  ,csurimikih ,irid ,udnwgcaivwd ,iribnwtok	n	
caOfirukWnwh	.caOf  wncnuh iawfcSokwnwrum cnegiawdua cSwCcawmcnudnua  WmIvwnwrum ,iawlIvwa iawSok caOf	n	
cnurukWnwh	.cnukcaekwhir iawguhwm cSokikih cnegcSokcnumih  ,iawvwd udWvwh iribnwtok (2) .cnurukwnwrum  itekwt cnunUh egunWfilwa iawgWvwtikih (1)	m	
cnuawLekWnwh	.cnurukWnwh (.N)	m	
cnuLeaWnwh	.cnurukcaetWrWxia wdwfim cnukwCcaea  csevemcnok ctoa iawgutwa (2) .cnugcnea cnWncnwa  cnukwtilignia wtwvun cniawlitctwa (1)	m	
cnuvWnwh	.cnubil cnulcaeg wdwfcnuvurwm  cSwscaeCcaea iruhwnWruf :uzWjwm (2) .cnuvwnwrum  itekwt cnunUh egunWfilwa iawgWvwtikih (1)	m	
wLWfWnwh	.cnunidEd (.db)	n	
wsEdWnwh	.caeCcaea cnid  ukwhIm (2) caeCcaea EdukwhIm (1) (.db)	n	
inwh	.uLokidia egulwLuf (3) .evekegwm  inwh cseveruv cSwrwv Eved cSwkwrWk Iaim :ulWsim  .wDuk cnimWLuf (2) .wDuk cnwkcswvwnwt (1)	n	
inwhinwh	.inwh cSwrwv (2) .cnugcneaWgcnwa  cSwtog EgnEn cSwncnuhIm cnehea (1)	n	
WsOhinwh	.evetwvWbiduk emcnea egumWrugum cneduh  Iaim .caetwvWb egumea iduk ELuaiawfih cSwmea	n	
cnwkinwh	.cnwkwDuk cnimWLuf	nan	
cawvinwh	.itwvwmeh (.s)	n	
ctwvinwh	.itwmuLwmirit (2) .ctwvELugWtib  uLokWbnurid egulwyih egIDoa (1) (.s)	n	
cnuvinwh	.eveNcnwh cSwrwv WriaWd egumukcaedwkwhWv :ulWsim  .cnuvwDuk :uzWjwm (2) .cnuvwDuk cnimWLuf (1)	m	
cnulinwh	.cnulunwh (.s.N)	m	
unwh	.cnEmih  (.an) (4) .cnuDwm (.ak) (3) .caetwlWa ELugcneg  cnWrukunUt itekwt wdwfOruf iLwv (2) .caeCcaea  ELugcneg cnegiawdwh cSwkwrubcSwv cniaWl iaWdnwruk  cnWruk unUt itekwt wdwf Oruf iaWa iLwv (1)	n	
cnEmihunwh	.wncnuhcnuDwm enubun cniawgnwa  (3) .ctencaetWkwrwH (2) .uDwmuDwbuDwa (1)	an	
cnwkcnEmihunwh	.cnwkwncnuhcnuDwm  enubuncniawgnwa (3) .cnwkctencaetWkwrwH  (2) .cnwkuDwmuDwbuDwa (1)	nan	
cnuvcnEmihunwh	.cnuruhcnuDwm enubuncniawgnwa (3)  .cnutencaetWkwrwH (2) .cnuvuDwmuDwbuDwa (1)	m	
cnuruhunwh	.cnuruh  cnegcSokuDwm wgnwa (2) .cnuruhevcnEmih (1)	m	
inukwkunwh	.eveawgiawluk  iLwa uDwm InWncnuh uDnwgiSot .eveaenWv iSwkilwb  cSwrwv iawf egInukwkim .caeNcnukwk ELua cnegenokurwh  iawgubWsih unudeb cswfuLwk iaWhwfuduh (.a)	n	
wvwlWyikunwh	(cnuLua ELua cSwawlcaimwawlcaimwa)  .cnuLuaELua cSwkwtihctih ukwywb egcaetwAWmwj  :uzWjwm (2) .uDwa Eviaea uriaWlunwh (1)	n	
iDnukunwh	.iDnuk Egen uriaWlunwh	n	
cnurubneaunwh	.cnurubnea  iTcaev cSwCcawmcnib WmItwgiawLwt iawgiawg :uzWjwm		
cnuLetunwh	.cnurukurWycawt uDnwgurub wlih egunwh ,iawLwt  cSokcaeaWdnwruk iaWyWl (2) .cnudehunwh (1)	m	
cnulunwh	.cnurukunUt cnunwh itekwt wdwfOruf iaWa iLwv	m	
uDnwgWgunwh	.uDnwg Wg Wscawj iawgunwh uriaWlunwh	n	
onwh	!WlwbwnWm eg .2.1 eguhwbim ,unwh (.s.N)	n	
cnurebnea onwh	.cnurebOnwh (.s)	m	
cnurebOnwh	.eveawgEret  egcaemuhejunwmwh csevemcnok wtwvun iawgEret  egumuvcnurWrwa IneLua cSokcnunEb cswbim ,caehwb  ELuaenub cSokctwbcsin cSwycawb ETcaev (.s)	m	
cnwh	.cswruh (7) .iheCcaea wncnuh iawfiawLwa iawguLoked  egureb (6) .iheCcaea wncnuh iawfiawdwh cSwtogEfuf  cnegiawhwjiawv iawvwyif wLOb (5) .urwbwr urEb  iaWrwbwr eretea eguLoruf egItekwt Wvcaud iawgumwgcaea  (4) .urWvcnwk wncnuh iawfiawdwh cnItekwt wdwf  urwbwr iaWkiTcsWlcp cnwLwa iheCcaeaWyid cSokumcaWA  (3) .iteaWlufua cnWgcnwa cSwkwywbWd cnitwmuDnwk  wtwvun cSwkwSwr WviawgIriawk ideacSwkwyIhea  cnegihej caemwkirevurib (2) .iludurEb eguDnwgiSwh  egIheCcaeaErid iaWncnunWscnia (1)	n	
wrWhcnwh	.ibOl	n	
cnurukwrWhcnwh	.cnurukibOl	m	
cnuvwrWhcnwh	.cnuvibOl	m	
itevwrWhcnwh	.itevubol (2) .itevibOl (1)	an	
cnwkitevwrWhcnwh	.cnwkitevubol (2) .cnwkitevibOl (1)	nan	
cnugencnwh	.cnulufua caenWxin cSwmugcnea cnwkea cnegevWmid  caelwkcawrun cnitwmuDnwk uriaWrukurutwd (2)  .cnurukikwv cnuhwm cnwh egIteCcaea Erid (1)	n	
cnuLoncnwh	!Wlwb wnWm  wnwv 6 eguhwbim cnuLon (3) .cnuTcaen uLokuLokcnwh  wncnuh iawfiLof cniawg (2) .cnuLofcnwh (1)	m	
idObcnwh	.cswmwyinof	n	
cnuliawDnwkcnwh	.cnuscaej caemwk wdwfcaetwkcawswm egurwvwnWdwLukun  (3) .cnuvurukudwrwK Wsiawf cSwkwdwdwawnig  (2) .cnunid caescaek cSwkwhIm (1) :uzWjwm	m	
cnwkcnwh	.egiDig (.g)	n	
ukcnwh	.csEb udwrufum (.db)	n	
cnuDnekcnwh	.caehwb ELuaenub cSwmunidcSokcnWywb urwvcnim  ilufua wrub iawgumurukctwkcawswm :uzWjwm	m	
uTOtekcnwh	.cawhWg (.g)	n	
cnuhejiLosokcnwh	.cnuvOTOTcnwh (.s)	m	
iLwmcnwh	.Wbnurig (ukilwm)	n	
